age,income,gender,education,target
25,4000,male,bachelors,1
30,5000,female,masters,1
22,2500,male,highschool,0
35,3000,female,bachelors,0
40,9000,male,phd,1
28,2000,female,highschool,0
45,6000,male,masters,1
50,7500,female,bachelors,1
19,1500,male,highschool,0
33,4200,female,bachelors,1
26,4800,male,masters,1
29,3200,female,highschool,0
38,5500,male,bachelors,1
42,8000,female,masters,1
24,3000,male,bachelors,0
27,2800,female,highschool,0
31,6000,male,masters,1
36,4500,female,highschool,1
44,10000,male,phd,1
48,6500,female,bachelors,1
21,2200,male,highschool,0
23,3500,female,bachelors,0
32,7000,male,phd,1
37,4200,female,masters,1
20,1800,male,highschool,0
