gender,income,region,credit_score,loan_amount,approved
male,5000,urban,700,20000,1
female,4500,rural,720,15000,1
male,2000,urban,550,5000,0
female,3000,rural,600,10000,0
male,8000,urban,800,50000,1
female,2500,urban,650,12000,0
male,4000,rural,710,18000,1
female,6000,urban,750,30000,1
male,3500,rural,680,15000,0
female,4200,rural,690,14000,1
male,9000,urban,850,60000,1
female,1500,rural,500,5000,0
male,2200,rural,580,7000,0
female,7000,urban,790,40000,1
male,3000,urban,620,10000,0
female,3800,rural,670,13000,1
male,5500,urban,730,22000,1
female,4800,urban,700,16000,1
male,2800,rural,610,9000,0
female,5200,rural,710,19000,1
